3					19.5
23					42.65
36					82.5
44					121.4
52					12.65
53					24.15
54					43.7
57					70.15
104	118.1	115.5			
105	59.4	58.05			
106	98	95.85			
107		169.45			
108		107.3			
109	265.95	260.3			
110	208.15	203.75			
113		86.7			
114		152.85			
116	104.25	101.95			
119	59.4	58.05			
122		247.2			
128		149.55			
131		107.7			
132	363	356.3			
133	181.75	178.35			
135	363	356.3			
137	363	356.3			
139		178.9			
141	622.55	611.1			
143	389.2	382			
145		740.95			
147		463.2			
160	305.45	299.05			
161	508.95	498.4			
162	712.25	697.5			
163	916	897.15			
164	1017.95	996.85			
170	140.95	158.7			
171	148.5	167.2			
172	180.7	203.45			
173	29.95	30			
193		50.05			
197		96.8			
199		142.5			
289	356.35	356.3			
291		611.1			
293		382			
296		351.45			
297	358.85				
299		420.3			
300		58.55			
302		116.75			
304		179.7			
306		247.95			
308		287.8			
310		29.2			
312		58.55			
314		90			
316		124.15			
318		143.95			
319		247.95			
320	59.9				
322	119.25				
324	183.55				
326	253.35				
328	293.8				
330		107.4			
332		168.3			
334		245.25			
336		296.7			
338		336.9			
342	68.15	66.6			
344	90.4	88.4			
346	133.6	130.7			
348	174.9	171.15			
350	241.45	236.25			
352	174.9	171.15			
353	68.8	77.25			
355	137.2	154.55			
356	201.2	226.55			
357	277.55	312.5			
358	338.15	380.7			
359	447.55	439.25			
361	411.7	404.1			
364	59.9	58.55			
366	119.25	116.75			
367	174.9	179.7			
369	241.45	248.15			
370	293.8	287.8			
384		86.7			
385	118.1	115.5			
386	59.4	58.05			
387	173.05	169.45			
388	109.6	107.3			
410		26.4			
411		57.75			
412		111.6			
413		164.3			
501		46.2			
503		78.05			
507		131.05			
511		185.4			
515		287.05			
519		197.4			
520		379.15			
530		621.45			
532		863.7			
534		1106.15			
536		1227.3			
597					149.3
598	144.45	141.45			
599					175.95
600	171.25	167.75			
701					68.3
703					158.6
705					218.85
707					309.15
715					244.1
721					165.9
723					131.45
729					81
731					81
732					82.9
735					81.25
739					139.1
743					231.9
747					59.7
750					102.35
758					170.45
820		187.8			
822		281.75			
823		375.55			
825		134.9			
826		215.1			
828		295.35			
830	191.85	187.8			
832	287.8	281.75			
834	383.4	375.55			
835	137.85	134.9			
837	219.75	215.1			
838	301.65	295.35			
855	191.85	187.8			
857	287.8	281.75			
858	383.4	375.55			
861	191.85	187.8			
864	287.8	281.75			
866	383.4	375.55			
871	110.8	108.45			
872	51.6	50.5			
880	67.1				
900					178.05
903					121.9
2100		26.35			26.35
2126		57.45			57.45
2143		111.4			111.4
2195		163.9			163.9
2497					19.5
2501					42.65
2504					82.5
2507					121.4
2517					42.65
2521					82.5
2525					121.4
2546					42.65
2552					82.5
2558					121.4
2598					12.65
2600					24.15
2603					43.7
2606					70.15
2620					24.15
2622					43.7
2624					70.15
2664					24.15
2666					43.7
2668					70.15
2700					82.5
2701					121.4
2712					82.5
2713					82.5
2715					104.75
2717					154.25
2721					106.7
2725					152.7
2799		152.85			
2801	208.15	203.75			
2806	104.25	101.95			
2814	59.4	58.05			
2824		247.2			
2832		149.55			
2840		107.7			
2946	191.85	187.8			
2949	287.8	281.75			
2954	383.4	375.55			
2958	137.9	134.9			
2972	219.75	215.1			
2974	301.7	295.35			
2978	191.85				
2984	287.8				
2988	383.4				
2992		134.9			
2996		215.1			
3000		295.35			
3003		152.85			
3005	208.15	203.75			
3010	104.25	101.95			
3014	59.4	58.05			
3018		247.2			
3023		149.55			
3028		107.7			
3032	191.85	187.8			
3040	287.8	281.75			
3044	383.4	375.55			
3051	137.9	134.9			
3055	219.75	215.1			
3062	301.7	295.35			
3069	191.85				
3074	287.8				
3078	383.4				
3083		134.9			
3088		215.1			
3093		295.35			
4001					88.1
5000					33.35
5020					56.35
5040					96.55
5060					135.45
5200					24.15
5203					35.65
5207					55.2
5208					81.65
6004		131.25			
6007	178.75	175			
6009	59.4	58.05			
6011	118.1	115.5			
6013	163.45	160			
6015	208.15	203.75			
10801	167.85	164.25			
10802	167.85	164.25			
10803	167.85	164.25			
10804	167.85	164.25			
10805	167.85	164.25			
10806	167.85	164.25			
10807	167.85	164.25			
10808	167.85	164.25			
10809	167.85	164.25			
10816	167.85	164.25			
10983					37.3
10984					37.3
10986					66.95
10987					27.6
10988					13.8
10989					13.8
10990					7.2
10991					10.85
10992					10.85
10997					13.8
11000	154.5	172.35			
11003	393.6	456			
11004	392.6	456			
11005	392.6	456			
11006	201.3	233.8			
11009	274.55	318.85			
11012	135.25	156.8			
11015	180.7	209.9			
11018	269.95	313.55			
11021	218.3	209.9			
11024	137.35	159.4			
11027	203.55	236.5			
11200	53.55	57.15			
11204	142.35	151.55			
11205	142.35	151.55			
11210	156.2	151.55			
11211	142.35	151.55			
11215	183.8	172.2			
11218	283.05	212.75			
11221	103.5	94.85			
11222	89.2	94.85			
11224	53.6	57.2			
11225	53.6	57.2			
11235	161.4	171.85			
11237	107.2	114.05			
11240	106.05	114.05			
11241	136.4	145.15			
11242	105.4	112.15			
11243	105.4	112.15			
11244	101.3	107.8			
11300	253.3	269.45			
11303	253.3	269.45			
11304	416.75	443.75			
11306	28.9	30.7			
11309	36.8	36.85			
11312	52.3	52.05			
11315	72.95	68.9			
11318	90.75	85.05			
11321	151.75	161.5			
11324	44.45	46			
11327	29.2	27.65			
11330	10.4	11.1			
11332	76.9	82			
11333	58.65	62.45			
11336	58.65	62.45			
11339	58.65	62.45			
11500	288.75	233.8			
11503	173.7	194.15			
11506	25.3	28.8			
11509	43.1	49.95			
11512	74.45	86.45			
11600	96.9	97.05			
11602	74.5	80.85			
11604	90.9	106			
11605	90.9	106			
11610	76.65	89.25			
11611	77.9	89.25			
11612	134.9	157.4			
11614	95.95	106			
11615	102.45	106.3			
11627	300.65	320.15			
11700	38.35	43.75			
11701	19.05	21.8			
11702	20.05	21.8			
11708	154.3	179.1			
11709	201.95	234.45			
11710	62.6	72.7			
11711	34.2	39.65			
11712	183.4	213.05			
11713	89.3	97.65			
11715	145.3	169.05			
11718	42	48.65			
11721	84.15	97.65			
11722	42	48.65			
11724	203.55	236.5			
11727	124.45	132.65			
11800	209.5	244.25			
11810	209.5	244.25			
11820	2447.05	2854.9			
11823	2447.05	2854.9			
11830	224.15	261.55			
11833	299.9	349.65			
11900	34.4	38.6			
11903	134.05	155.55			
11906	134.05	155.55			
11909	199.05	231.25			
11912	216.65	231.25			
11915	199.05	231.25			
11917	521.35	599.7			
