DESCRIPTION:WA
01.07.2015
Medicare Item
Number	AMA Item
Number	1 July 2015 Medicare Schedule Fee	Medical Gap Scheme
Benefit
(Including
Medicare Benefit)	Medical Gap Scheme %
14206	BM920	35.60	42.75	
14209	BM930	88.70	107.00	
14212	BM940	185.30	224.05	
14218	BM960	97.95	116.40	
14221	BM970	52.50	62.35	
14224	BM980	70.35	83.50	
14227		97.95	97.95	
14230		298.05	298.05	
14233		361.90	361.90	
14236		659.95	659.95	
14239		159.40	159.40	
14242		473.65	473.65	
14245		97.95	131.30	
15000	BP020	42.55	57.05	
15003		0.00	0.00	115.454%
15006	BP040	94.35	109.20	
15009		0.00	0.00	115.454%
15012	BP060	53.45	61.70	
15100	BP250	47.70	55.10	
15103		0.00	0.00	115.454%
15106	BP270	56.30	65.00	
15109		0.00	0.00	115.454%
15112	BP290	120.25	138.95	
15513		306.55	348.50	
15515	BR550	392.50	455.25	
15518	BR560	77.00	89.00	
15521	BR570	339.90	393.95	
15524	BR580	637.35	739.15	
15527	BR590	78.95	91.00	
15530	BR600	352.15	408.20	
15533	BR610	667.70	774.40	
15536	BR620	266.90	309.40	
15539		627.30	713.20	
15550		658.60	766.35	
15553		710.55	826.80	
15556		664.40	772.90	
15559		866.55	1008.30	
15562		1120.75	1303.95	
15600	BR630	1702.30	1975.00	
15700		45.95	52.55	
15705		76.60	87.65	
15710		76.60	88.25	
15800		96.30	110.00	
15850		199.50	228.30	
16003	BR910	650.50	706.05	
16006	BR920	499.85	542.40	
16009	BR930	341.15	370.20	
16012	BR940	295.15	319.95	
16015	BR950	4085.70	4435.70	
16018		2442.45	3486.40	
16401		85.55	197.25	
16404		43.00	99.05	
16406		133.95	308.80	
16500	BT200	47.15	71.80	
16501		140.55	185.15	
16502	BT210	47.15	71.80	
16504	BT220	47.15	71.80	
16505	BT230	47.15	71.80	
16508	BT240	47.15	71.80	
16509	BT250	47.15	71.80	
16511	BT260	219.95	302.60	
16512	BT270	63.50	87.00	
16514	BT280	36.65	50.05	
16515	BT500	450.65	1025.30	
16518	BT510	450.65	974.50	
16519	BT520	693.95	2093.20	
16520	BT530	811.05	1845.25	
16522		1629.35	2260.60	
16525	BT540	384.35	874.10	
16527		450.65	1025.30	
16528		811.05	1845.25	
16564	BT800	218.00	300.10	
16567	BT810	318.80	438.90	
16570	BT820	416.05	572.45	
16571	BT830	318.80	438.90	
16573	BT840	259.80	357.40	
16590		324.10	324.10	
18274		88.65	138.35	
18276		124.85	194.95	
18278		88.65	138.35	
18280		124.85	194.95	
18282		100.80	157.30	
18284		147.65	230.65	
18286		147.65	230.65	
18288		147.65	230.65	
18290		249.75	390.45	
18292		124.85	194.95	
18294		176.00	275.00	
18296		150.55	234.90	
18298		176.00	275.00	
18350		124.85	186.65	
18351		124.85	209.30	
18353		249.75	374.00	
18354		124.85	186.65	
18360		124.85	186.65	
18361		124.85	186.65	
18362		246.70	369.35	
18365		124.85	186.65	
18366		156.40	234.05	
18368		267.05	399.95	
18369		45.05	75.55	
18370		45.05	68.25	
18372		124.85	215.05	
18374		124.85	215.05	
18375		229.85	395.80	
18377		124.85	215.05	
18379		229.85	343.60	
20100		99.00	167.20	
20102		118.80	200.65	
20104		79.20	133.75	
20120		99.00	167.20	
20124		79.20	133.75	
20140		99.00	167.20	
20142		118.80	200.65	
20143		118.80	200.65	
20144		158.40	267.50	
20145		158.40	267.50	
20146		99.00	167.20	
20147		118.80	200.65	
20148		79.20	133.75	
20160		118.80	200.65	
20162		138.60	234.05	
20164		79.20	133.75	
20170		118.80	200.65	
20172		138.60	234.05	
20174		178.20	300.95	
20176		198.00	334.40	
20190		99.00	167.20	
20192		198.00	334.40	
20210		297.00	501.55	
20212		99.00	167.20	
20704		198.00	334.40	
20705		118.80	200.65	
20706		138.60	234.05	
20730		99.00	167.20	
20740		99.00	167.20	
20745		118.80	200.65	
20750		79.20	133.75	
20752		118.80	200.65	
20754		138.60	234.05	
20756		178.20	300.95	
20770		297.00	501.55	
20790		158.40	267.50	
20791		198.00	334.40	
20792		257.40	434.70	
20793		297.00	501.55	
20794		237.60	401.25	
20798		198.00	334.40	
20799		118.80	200.65	
20800		59.40	100.30	
20802		99.00	167.20	
20803		79.20	133.75	
20804		198.00	334.40	
20805		118.80	200.65	
20806		138.60	234.05	
20810		79.20	133.75	
20815		118.80	200.65	
20820		99.00	167.20	
20830		79.20	133.75	
20832		118.80	200.65	
20840		118.80	200.65	
20841		158.40	267.50	
20842		79.20	133.75	
20844		198.00	334.40	
20845		198.00	334.40	
20846		198.00	334.40	
20847		198.00	334.40	
20848		198.00	334.40	
20850		237.60	401.25	
20855		297.00	501.55	
20860		118.80	200.65	
20862		138.60	234.05	
20863		198.00	334.40	
20864		198.00	334.40	
20866		198.00	334.40	
20867		198.00	334.40	
20868		198.00	334.40	
20880		297.00	501.55	
20882		198.00	334.40	
