DESCRIPTION: LINE 2 IS THE HEADER; LINE 3 IS START_DATE; THE FOLLOWING LINES: FEES LIST; THE COLUMNS ARE SEPARATED BY TAB
MBS	MBS Fee (Jan 2015)	AHSA $ Benefit	AHSA % Benefit
23320	$712.80	$1,274.40	
23330	$732.60	$1,309.80	
23340	$752.40	$1,345.20	
23350	$772.20	$1,380.60	
23360	$792.00	$1,416.00	
23370	$811.80	$1,451.40	
23380	$831.60	$1,486.80	
23390	$851.40	$1,522.20	
23400	$871.20	$1,557.60	
23410	$891.00	$1,593.00	
23420	$910.80	$1,628.40	
23430	$930.60	$1,663.80	
23440	$950.40	$1,699.20	
23450	$970.20	$1,734.60	
23460	$990.00	$1,770.00	
23470	$1,009.80	$1,805.40	
23480	$1,029.60	$1,840.80	
23490	$1,049.40	$1,876.20	
23500	$1,069.20	$1,911.60	
23510	$1,089.00	$1,947.00	
23520	$1,108.80	$1,982.40	
23530	$1,128.60	$2,017.80	
23540	$1,148.40	$2,053.20	
23550	$1,168.20	$2,088.60	
23560	$1,188.00	$2,124.00	
23570	$1,207.80	$2,159.40	
23580	$1,227.60	$2,194.80	
23590	$1,247.40	$2,230.20	
23600	$1,267.20	$2,265.60	
23610	$1,287.00	$2,301.00	
23620	$1,306.80	$2,336.40	
23630	$1,326.60	$2,371.80	
23640	$1,346.40	$2,407.20	
23650	$1,366.20	$2,442.60	
23660	$1,386.00	$2,478.00	
23670	$1,405.80	$2,513.40	
23680	$1,425.60	$2,548.80	
23690	$1,445.40	$2,584.20	
23700	$1,465.20	$2,619.60	
23710	$1,485.00	$2,655.00	
23720	$1,504.80	$2,690.40	
23730	$1,524.60	$2,725.80	
23740	$1,544.40	$2,761.20	
23750	$1,564.20	$2,796.60	
23760	$1,584.00	$2,832.00	
23770	$1,603.80	$2,867.40	
23780	$1,623.60	$2,902.80	
23790	$1,643.40	$2,938.20	
23800	$1,663.20	$2,973.60	
23810	$1,683.00	$3,009.00	
23820	$1,702.80	$3,044.40	
23830	$1,722.60	$3,079.80	
23840	$1,742.40	$3,115.20	
23850	$1,762.20	$3,150.60	
23860	$1,782.00	$3,186.00	
23870	$1,801.80	$3,221.40	
23880	$1,821.60	$3,256.80	
23890	$1,841.40	$3,292.20	
23900	$1,861.20	$3,327.60	
23910	$1,881.00	$3,363.00	
23920	$1,900.80	$3,398.40	
23930	$1,920.60	$3,433.80	
23940	$1,940.40	$3,469.20	
23950	$1,960.20	$3,504.60	
23960	$1,980.00	$3,540.00	
23970	$1,999.80	$3,575.40	
23980	$2,019.60	$3,610.80	
23990	$2,039.40	$3,646.20	
24100	$2,059.20	$3,681.60	
24101	$2,079.00	$3,717.00	
24102	$2,098.80	$3,752.40	
24103	$2,118.60	$3,787.80	
24104	$2,138.40	$3,823.20	
24105	$2,158.20	$3,858.60	
24106	$2,178.00	$3,894.00	
24107	$2,197.80	$3,929.40	
24108	$2,217.60	$3,964.80	
24109	$2,237.40	$4,000.20	
24110	$2,257.20	$4,035.60	
24111	$2,277.00	$4,071.00	
24112	$2,296.80	$4,106.40	
24113	$2,316.60	$4,141.80	
24114	$2,336.40	$4,177.20	
24115	$2,356.20	$4,212.60	
24116	$2,376.00	$4,248.00	
24117	$2,395.80	$4,283.40	
24118	$2,415.60	$4,318.80	
24119	$2,435.40	$4,354.20	
24120	$2,455.20	$4,389.60	
24121	$2,475.00	$4,425.00	
24122	$2,494.80	$4,460.40	
24123	$2,514.60	$4,495.80	
24124	$2,534.40	$4,531.20	
24125	$2,554.20	$4,566.60	
24126	$2,574.00	$4,602.00	
24127	$2,593.80	$4,637.40	
24128	$2,613.60	$4,672.80	
24129	$2,633.40	$4,708.20	
24130	$2,653.20	$4,743.60	
24131	$2,673.00	$4,779.00	
24132	$2,692.80	$4,814.40	
24133	$2,712.60	$4,849.80	
24134	$2,732.40	$4,885.20	
24135	$2,752.20	$4,920.60	
24136	$2,772.00	$4,956.00	
25000	$19.80	$35.40	
25005	$39.60	$70.80	
25010	$59.40	$106.20	
25015	$19.80	$35.40	
25020	$39.60	$70.80	
25025			178.80 
25030			178.80 
25050			178.80 
25200			178.80 
25205			178.80 
30001			136.80 
30003	$36.30	$41.00	
30006	$46.50	$57.60	
30009	$60.75	$75.10	
30010	$73.90	$105.70	
30013	$130.90	$161.90	
30014	$155.40	$191.80	
30017	$326.05	$402.60	
30020	$635.00	$784.00	
30023	$326.05	$450.00	
30024	$326.05	$446.30	
30026	$52.20	$71.40	
30029	$90.00	$124.00	
30032	$82.50	$113.80	
30035	$117.55	$168.40	
30038	$90.00	$129.10	
30041	$144.00	$197.20	
30042	$185.60	$253.90	
30045	$117.55	$145.20	
30048	$149.75	$184.90	
30049	$185.60	$229.30	
30052	$254.00	$313.70	
30055	$73.90	$102.20	
30058	$144.35	$206.50	
30061	$23.50	$32.40	
30062	$60.75	$83.10	
30064	$109.90	$151.80	
30067	$223.60	$308.70	
30068	$276.80	$396.80	
30071	$52.20	$74.90	
30074	$117.55	$168.40	
30075	$149.75	$206.80	
30078	$48.45	$66.70	
30081	$109.90	$157.70	
30084	$58.80	$80.40	
30087	$29.45	$40.20	
30090	$128.55	$158.70	
30093	$171.55	$211.60	
30094	$189.40	$233.60	
30096	$183.90	$227.00	
30097	$97.15	$133.10	
30099	$90.00	$111.10	
30102	$149.75	$184.90	
30103	$183.90	$263.30	
30104	$126.90	$181.90	
30106	$155.40	$222.70	
30107	$219.95	$315.10	
30110	$284.35	$407.30	
30111	$371.50	$532.20	
30114	$371.50	$512.60	
30165	$454.85	$627.80	
30168	$454.85	$621.50	
30171	$691.75	$991.30	
30174	$691.75	$991.30	
30177	$985.70	$1,412.20	
30180	$136.50	$195.50	
30183	$246.50	$353.20	
30185	$182.50	$249.80	
30186	$47.45	$64.70	
30187	$256.95	$368.20	
30189	$147.30	$211.00	
30190	$397.75	$569.80	
30192	$39.55	$56.70	
30195	$63.50	$90.90	
30196	$126.30	$172.60	
30197	$440.05	$630.60	
30202	$48.35	$69.40	
30203	$170.25	$243.90	
30205	$126.30	$181.10	
30207	$44.60	$55.10	
30210	$162.95	$224.90	
30213	$109.80	$135.70	
30214	$109.80	$135.70	
30216	$27.35	$37.80	
30219	$27.35	$37.30	
30223	$162.95	$233.30	
30224	$237.60	$325.00	
30225	$267.65	$369.20	
30226	$149.75	$214.40	
30229	$272.95	$373.10	
30232	$223.60	$305.70	
30235	$295.70	$404.10	
30238	$149.75	$204.90	
30241	$356.35	$491.90	
30244	$356.35	$491.90	
30246	$689.80	$951.80	
30247	$739.35	$1,020.60	
30250	$1,251.10	$1,792.40	
30251	$1,921.75	$2,753.30	
30253	$834.05	$1,150.80	
30255	$1,110.65	$1,532.90	
30256	$445.40	$614.80	
30259	$198.50	$273.70	
30262	$58.80	$81.10	
30265	$117.55	$162.00	
30266	$149.75	$204.90	
30269	$149.75	$204.90	
30272	$295.70	$404.10	
30275	$1,762.75	$2,525.70	
30278	$46.50	$66.80	
30281	$119.50	$171.20	
30282	$155.40	$214.70	
30283	$204.70	$282.60	
30286	$397.85	$570.10	
30289	$502.25	$719.30	
30293	$445.40	$608.80	
30294	$1,762.75	$2,176.80	
30296	$1,023.70	$1,466.60	
30297	$1,023.70	$1,412.90	
30299	$637.45	$872.40	
30300	$764.90	$1,046.70	
30302	$509.95	$697.90	
30303	$611.85	$837.50	
30306	$798.65	$1,102.00	
30308	$798.65	$1,102.00	
30309	$1,023.70	$1,466.60	
30310	$457.40	$625.30	
30313	$272.95	$391.30	
30314	$457.40	$655.30	
30315	$1,139.90	$1,633.20	
30317	$1,364.90	$1,955.80	
30318	$907.60	$1,120.60	
30320	$1,364.90	$1,685.30	
30321	$907.60	$1,300.60	
30323	$1,364.90	$1,955.80	
30324	$1,364.90	$1,883.80	
30329	$246.95	$340.50	
30330	$718.75	$982.30	
30332	$346.75	$478.80	
30335	$866.85	$1,196.10	
30336	$1,040.25	$1,435.70	
30373	$483.25	$667.00	
30375	$521.25	$712.80	
30376	$521.25	$718.90	
30378	$523.70	$722.50	
30379	$928.15	$1,330.20	
30382	$1,306.90	$1,613.50	
30384	$1,099.40	$1,357.60	
30385	$563.30	$807.20	
30387	$635.00	$876.20	
30388	$1,597.55	$2,204.60	
30390	$219.95	$315.10	
30391	$284.35	$392.30	
30392	$674.50	$832.90	
30393	$523.70	$750.20	
30394	$492.85	$673.40	
30396	$1,016.55	$1,402.80	
30397	$232.35	$320.70	
30399	$319.60	$441.10	
30400	$632.50	$872.80	
30402	$464.60	$634.90	
30403	$521.25	$718.90	
30405	$914.95	$1,250.50	
30406	$52.20	$64.40	
30408	$392.10	$484.30	
30409	$174.45	$250.20	
30411	$88.80	$121.60	
30412	$52.35	$72.30	
30414	$689.80	$942.90	
30415	$1,379.50	$1,885.40	
30416	$748.95	$924.80	
30417	$1,123.40	$1,387.10	
30418	$1,597.55	$2,204.60	
30419	$817.10	$1,127.60	
30421	$1,996.55	$2,465.20	
30422	$675.35	$833.80	
30425	$1,306.90	$1,872.30	
30427	$1,560.95	$2,236.50	
30428	$1,670.00	$2,392.80	
30430	$2,323.30	$3,328.80	
30431	$521.25	$746.90	
30433	$726.05	$1,040.40	
30434	$588.15	$842.40	
30436	$653.45	$936.10	
30437	$813.30	$1,165.10	
30438	$1,150.85	$1,648.70	
30439	$185.60	$256.30	
30440	$526.40	$650.00	
30441	$136.25	$168.00	
30442	$185.60	$256.30	
30443	$739.35	$1,059.20	
30445	$739.35	$1,059.20	
30446	$739.35	$1,059.20	
30448	$972.90	$1,329.80	
30449	$1,081.85	$1,478.60	
30450	$524.40	$723.40	
30451	$267.65	$369.20	
30452	$377.50	$521.00	
30454	$862.50	$1,190.00	
30455	$1,014.05	$1,385.90	
30457	$1,379.50	$1,885.40	
30458	$1,014.05	$1,453.00	
30460	$862.50	$1,235.80	
30461	$1,478.40	$2,118.20	
30463	$1,815.20	$2,504.80	
30464	$2,178.25	$3,005.70	
30466	$1,256.05	$1,716.60	
30467	$1,553.70	$2,123.60	
30469	$1,720.90	$2,465.50	
30472	$929.35	$1,331.80	
30473	$177.10	$232.60	
30475	$320.25	$395.60	
30476	$245.55	$303.30	
30478	$245.55	$335.60	
30479	$476.10	$587.80	
30481	$357.00	$440.90	
30482	$253.85	$313.60	
30483	$177.05	$218.70	
30484	$364.90	$450.60	
30485	$563.30	$770.10	
30487	$180.90	$247.10	
30488	$90.00	$111.10	
30490	$526.40	$650.00	
30491	$555.35	$685.70	
30492	$787.30	$1,077.40	
30493	$333.20	$411.40	
30494	$420.50	$574.90	
30495	$787.30	$1,077.40	
30496	$588.15	$803.80	
30497	$701.30	$865.90	
30499	$834.05	$1,029.60	
30500	$893.10	$1,102.60	
30502	$985.70	$1,217.10	
30503	$1,103.80	$1,581.50	
30505	$551.85	$681.80	
30506	$965.75	$1,192.30	
30508	$1,016.55	$1,255.10	
30509	$1,016.55	$1,255.10	
30515	$704.35	$971.70	
30517	$922.20	$1,138.60	
30518	$987.50	$1,415.30	
30520	$675.35	$967.80	
30521	$1,444.90	$2,070.00	
30523	$1,510.10	$2,163.50	
30524	$1,662.65	$2,279.20	
30526	$2,156.35	$2,956.00	
30527	$871.30	$1,248.40	
30529	$1,306.90	$1,872.30	
30530	$784.20	$1,123.70	
30532	$900.45	$1,290.40	
30533	$1,071.00	$1,534.40	
30535	$1,696.65	$2,319.10	
30536	$1,720.90	$2,465.50	
30538	$1,190.80	$1,705.80	
30539	$871.30	$1,076.00	
30541	$1,517.50	$2,174.20	
30542	$1,031.10	$1,477.50	
30544	$755.20	$1,082.10	
30545	$1,837.10	$2,632.00	
30547	$1,263.35	$1,810.10	
30548	$943.80	$1,352.20	
30550	$2,062.20	$2,954.30	
30551	$1,423.15	$2,039.30	
30553	$1,052.65	$1,508.40	
30554	$2,294.45	$3,287.60	
30556	$1,582.80	$2,267.90	
30557	$1,169.00	$1,675.20	
30559	$849.55	$1,217.00	
30560	$943.80	$1,352.20	
30562	$595.00	$821.10	
30563	$595.00	$813.40	
30564	$772.30	$953.70	
30565	$871.30	$1,202.30	
30566	$967.85	$1,335.50	
30568	$726.05	$1,001.90	
30569	$370.20	$511.20	
30571	$445.40	$614.80	
30572	$445.40	$638.30	
30574	$123.25	$176.50	
30575	$512.70	$707.30	
30577	$1,089.15	$1,344.90	
30578	$1,147.20	$1,643.90	
30580	$1,045.40	$1,498.20	
30581	$762.35	$1,092.30	
30583	$1,194.25	$1,474.60	
30584	$1,762.75	$2,409.10	
30586	$701.30	$865.90	
30587	$726.05	$896.60	
30589	$1,251.10	$1,544.90	
30590	$1,379.50	$1,703.30	
30593	$1,887.75	$2,604.90	
30594	$2,178.25	$3,005.70	
30596	$897.30	$1,238.10	
30597	$720.20	$993.90	
30599	$1,306.90	$1,803.60	
30600	$777.10	$1,072.60	
30601	$957.30	$1,182.00	
30602	$1,553.70	$1,918.30	
30603	$1,640.90	$2,026.20	
30605	$1,865.95	$2,304.10	
30606	$1,110.80	$1,371.40	
30609	$464.50	$665.50	
30612	$356.35	$491.90	
30614	$464.50	$641.30	
30615	$521.25	$718.90	
30616	$265.30	$366.10	
30617	$356.35	$487.00	
30620	$299.45	$409.50	
30621	$407.50	$562.20	
30628	$35.60	$44.00	
30631	$236.65	$339.00	
30634	$235.05	$336.70	
30635	$291.80	$418.30	
30638	$299.45	$413.50	
30641	$407.50	$583.90	
30644	$521.25	$718.90	
30653	$46.50	$66.80	
30656	$108.15	$154.80	
30659	$149.75	$214.40	
30660	$185.60	$265.90	
30663	$144.35	$206.80	
30666	$47.45	$68.00	
30672	$445.40	$638.30	
30675	$299.45	$429.20	
30676	$379.05	$523.10	
30679	$96.30	$132.80	
30680	$1,170.00	$1,601.00	
30682	$1,170.00	$1,601.00	
30684	$1,439.85	$1,970.20	
30686	$1,439.85	$1,970.20	
30687	$476.10	$651.50	
30688	$364.90	$499.30	
30690	$563.30	$770.80	
30692	$364.90	$499.30	
30694	$563.30	$770.80	
30696	$563.30	$770.80	
30710	$563.30	$770.80	
31000	$580.90	$717.40	
31001	$726.05	$992.20	
31002	$871.30	$1,190.90	
31200	$34.00	$48.80	
31205	$95.45	$137.00	
31210	$123.10	$176.20	
31215	$143.55	$198.40	
31220	$214.55	$296.20	
31225	$381.30	$546.60	
31230	$168.05	$240.60	
31235	$143.55	$205.60	
31240	$168.05	$232.10	
31245	$369.00	$528.80	
31250	$369.00	$528.80	
31255	$221.35	$305.30	
31256	$221.35	$302.90	
31257	$221.35	$302.90	
31258	$221.35	$302.90	
31260	$315.65	$435.40	
31261	$315.65	$431.90	
31262	$315.65	$431.90	
31263	$315.65	$431.90	
31265	$184.50	$254.40	
31266	$184.50	$252.50	
31267	$184.50	$252.50	
31268	$184.50	$252.50	
31270	$258.25	$356.30	
31271	$258.25	$353.40	
31272	$258.25	$353.40	
31273	$258.25	$353.40	
31275	$299.25	$413.00	
31276	$299.25	$409.40	
31277	$299.25	$409.40	
31278	$299.25	$409.40	
31280	$155.85	$215.10	
31281	$156.40	$213.90	
31282	$156.40	$213.90	
31283	$156.40	$213.90	
31285	$212.95	$294.30	
31286	$212.95	$291.20	
31287	$212.95	$291.20	
31288	$212.95	$291.20	
31290	$245.90	$339.30	
31291	$245.90	$336.50	
31292	$245.90	$336.50	
31293	$245.90	$336.50	
31295	$292.85	$403.80	
31300	$319.90	$458.10	
31305	$393.50	$537.90	
31310	$278.65	$380.90	
31315	$352.50	$481.70	
31320	$393.50	$537.90	
31325	$270.55	$369.90	
31330	$319.90	$441.40	
31335	$369.00	$509.00	
31340			136.80 
31345	$210.95	$291.30	
31346	$210.95	$291.30	
31350	$433.35	$620.80	
31355	$714.45	$1,023.40	
31400	$261.05	$374.00	
31403	$301.35	$431.90	
31406	$502.15	$686.00	
31409	$1,560.15	$2,132.40	
31412	$1,921.75	$2,626.70	
31420	$183.90	$263.30	
31423	$401.75	$554.50	
31426	$803.45	$1,108.80	
31429	$1,252.10	$1,728.10	
31432	$1,339.15	$1,847.90	
31435	$984.30	$1,358.40	
31438	$1,560.15	$2,132.40	
31450	$406.65	$556.00	
31452	$711.50	$972.60	
31454	$563.30	$771.30	
31456	$245.55	$336.20	
31458	$294.65	$403.10	
31460	$357.00	$489.10	
31462	$521.25	$713.70	
31464	$871.30	$1,192.90	
31466	$1,306.95	$1,789.10	
31468	$1,435.85	$1,966.10	
31470	$720.20	$986.20	
31472	$1,169.80	$1,601.80	
31500	$260.05	$358.70	
31503	$346.75	$478.80	
31506	$390.10	$538.70	
31509	$346.75	$478.80	
31512	$650.15	$897.40	
31515	$436.15	$601.80	
31519	$736.05	$1,006.60	
31524	$1,040.25	$1,435.70	
31525	$520.00	$711.10	
31530	$595.65	$736.00	
31533	$137.90	$170.30	
31536	$189.40	$258.90	
31539	$398.80	$545.60	
31542	$196.95	$269.20	
31545	$595.65	$814.70	
31548	$137.90	$190.20	
31551	$216.75	$310.40	
31554	$433.50	$592.40	
31557	$346.75	$496.80	
31560	$346.75	$496.80	
31563	$259.75	$355.30	
31566	$129.95	$177.80	
31569	$849.55	$1,162.20	
31572	$1,045.40	$1,430.20	
31575	$849.55	$1,162.20	
31578	$849.55	$1,162.20	
31581	$1,045.40	$1,430.20	
31584	$1,539.10	$2,103.40	
31587	$97.95	$116.60	
31590	$251.70	$344.10	
32000	$1,031.35	$1,341.60	
32003	$1,078.80	$1,403.20	
32004	$1,150.35	$1,496.40	
32005	$1,299.55	$1,690.30	
32006	$1,150.35	$1,496.40	
32009	$1,364.60	$1,702.80	
32012	$1,507.40	$1,900.80	
32015	$1,852.50	$2,312.00	
32018	$1,570.85	$1,960.50	
32021	$563.30	$703.10	
32023	$555.35	$720.10	
32024	$1,364.60	$1,775.10	
32025	$1,825.30	$2,374.10	
32026	$1,965.65	$2,556.80	
32028	$2,106.20	$2,739.70	
32029	$421.20	$547.70	
32030	$1,031.35	$1,341.50	
32033	$1,507.40	$1,960.60	
32036	$1,911.80	$2,486.90	
32039	$1,535.05	$1,997.00	
32042	$1,293.15	$1,682.40	
32045	$483.95	$629.60	
32046	$747.90	$972.80	
32047	$871.30	$1,133.20	
32051	$2,316.60	$3,014.00	
32054	$2,126.20	$2,765.80	
32057	$563.30	$732.90	
32060	$2,316.60	$3,014.00	
32063	$2,126.20	$2,765.80	
32066	$563.30	$732.90	
32069	$1,713.65	$2,229.10	
32072	$47.85	$62.80	
32075	$75.05	$97.50	
32078	$168.55	$219.20	
32081	$231.45	$300.80	
32084	$111.35	$144.60	
32087	$204.70	$266.10	
32090	$334.35	$439.10	
32093	$469.20	$616.30	
32094	$551.85	$718.00	
32095	$127.80	$166.30	
32096	$256.95	$334.10	
32099	$333.20	$433.50	
32102	$634.70	$825.90	
32103	$772.30	$1,001.30	
32104	$999.65	$1,296.10	
32105	$483.95	$629.60	
32106	$1,364.60	$1,769.10	
32108	$999.65	$1,300.60	
32111	$634.70	$825.50	
32112	$772.30	$1,004.80	
32114	$174.45	$227.30	
32115	$126.85	$165.10	
32117	$999.65	$1,300.20	
32120	$256.95	$334.10	
32123	$333.20	$433.50	
32126	$483.95	$629.60	
32129	$634.70	$825.50	
32131	$533.60	$694.20	
32132	$45.10	$58.70	
32135	$67.50	$87.70	
32138	$367.75	$478.40	
32139	$367.75	$478.40	
32142	$67.50	$87.70	
32145	$135.05	$175.80	
32147	$45.10	$58.70	
32150	$256.95	$334.10	
32153	$70.10	$91.20	
32156	$131.75	$166.40	
32159	$333.20	$433.50	
32162	$483.95	$629.60	
32165	$634.70	$825.50	
32166	$206.20	$268.00	
32168	$131.75	$164.40	
32171	$88.80	$115.60	
32174	$88.80	$115.60	
32175	$162.65	$211.80	
32177	$174.25	$226.40	
32180	$256.95	$334.10	
32183	$561.65	$730.80	
32186	$561.65	$730.90	
32200	$295.70	$384.70	
32203	$635.00	$826.20	
32206	$573.70	$746.50	
32209	$921.95	$1,199.30	
32210	$255.45	$332.20	
32212	$136.25	$172.00	
32213	$660.95	$857.00	
32214	$334.00	$433.00	
32215	$125.40	$162.50	
32216	$593.55	$769.50	
32217	$156.30	$202.60	
32218	$156.30	$202.60	
32220	$903.90	$1,171.80	
32221	$903.90	$1,171.80	
32500	$109.80	$164.80	
32501	$109.80	$164.80	
32504	$267.65	$401.30	
32507	$533.60	$799.60	
32508	$533.60	$799.60	
32511	$793.30	$1,189.40	
32514	$926.80	$1,389.60	
32517	$1,193.40	$1,568.10	
32520	$533.60	$747.10	
32522	$793.30	$1,110.80	
32523	$533.60	$747.10	
32526	$793.30	$1,110.80	
32700	$1,436.30	$1,887.30	
32703	$1,188.20	$1,561.30	
32708	$1,421.35	$1,867.70	
32710	$1,579.30	$2,075.00	
32711	$1,737.25	$2,282.30	
32712	$1,255.80	$1,649.90	
32715	$1,255.80	$1,649.50	
32718	$1,188.20	$1,781.00	
32721	$1,887.35	$2,828.80	
32724	$2,143.10	$3,212.20	
32730	$1,624.30	$2,434.60	
32733	$1,887.35	$2,828.80	
32736	$413.55	$543.40	
32739	$1,293.40	$1,699.70	
32742	$1,481.50	$1,946.40	
32745	$1,691.95	$2,222.70	
32748	$1,834.80	$2,604.50	
32751	$1,188.20	$1,781.00	
32754	$1,481.50	$1,946.30	
32757	$413.55	$543.40	
32760	$406.05	$533.50	
32763	$1,188.20	$1,781.00	
32766	$789.65	$1,037.40	
32769	$273.65	$410.20	
33050	$1,455.30	$2,066.10	
33055	$1,167.05	$1,656.90	
33070	$842.00	$1,195.30	
33075	$1,071.05	$1,520.40	
33080	$1,307.45	$1,856.10	
33100	$1,436.30	$2,038.80	
33103	$2,015.30	$2,860.70	
33109	$2,436.50	$3,458.90	
33112	$2,113.10	$3,167.00	
33115	$1,421.35	$1,867.80	
33116	$1,399.00	$1,872.40	
33118	$1,579.30	$2,241.80	
33119	$1,554.55	$2,247.50	
33121	$1,737.25	$2,466.30	
33124	$1,210.80	$1,590.40	
33127	$1,586.75	$2,084.50	
33130	$1,383.65	$1,818.00	
33133	$1,037.65	$1,363.20	
33136	$2,616.75	$3,437.80	
33139	$1,586.75	$2,378.30	
33142	$1,481.50	$2,103.30	
33145	$2,549.20	$3,618.90	
33148	$3,165.80	$4,493.90	
33151	$3,007.90	$4,508.30	
33154	$2,225.90	$3,336.10	
33157	$2,481.50	$3,719.10	
33160	$2,481.50	$3,719.10	
33163	$2,105.70	$3,156.00	
33166	$2,105.70	$3,156.00	
33169	$1,639.35	$2,457.00	
33172	$1,278.35	$1,679.40	
33175	$1,178.10	$1,547.90	
33178	$1,498.20	$1,968.40	
33181	$1,831.70	$2,406.40	
33500	$1,135.40	$1,611.60	
33506	$1,270.90	$1,803.90	
33509	$1,421.35	$2,018.00	
33512	$1,579.30	$2,241.80	
33515	$1,737.25	$2,603.70	
33518	$1,270.90	$1,905.00	
33521	$1,376.10	$1,953.50	
33524	$1,624.30	$2,286.80	
33527	$1,887.35	$2,657.50	
33530	$1,624.30	$2,286.80	
33533	$1,887.35	$2,657.50	
33536	$1,346.10	$1,895.20	
33539	$970.05	$1,365.70	
33542	$1,383.65	$1,964.20	
33545	$273.65	$410.20	
33548	$556.60	$783.50	
33551	$273.65	$385.20	
33554	$272.40	$383.60	
33800	$1,180.60	$1,662.30	
33803	$1,128.05	$1,588.20	
33806	$812.15	$1,143.60	
33810	$592.45	$834.30	
33811	$1,763.80	$2,483.30	
33812	$932.45	$1,312.80	
33815	$857.30	$1,217.00	
33818	$1,000.15	$1,419.70	
33821	$1,143.00	$1,622.60	
33824	$1,090.35	$1,535.10	
33827	$1,278.35	$1,799.70	
33830	$1,466.30	$2,064.40	
33833	$1,331.15	$1,874.30	
33836	$1,586.75	$2,378.30	
33839	$1,857.40	$2,783.70	
33842	$917.40	$1,291.60	
33845	$639.20	$900.30	
33848	$639.20	$907.30	
34100	$707.00	$1,003.60	
34103	$413.55	$586.70	
34106	$291.70	$437.10	
34109	$338.35	$480.10	
34112	$857.30	$1,217.00	
34115	$970.05	$1,377.10	
34118	$1,383.65	$1,964.20	
34121	$1,105.35	$1,569.20	
34124	$1,210.80	$1,718.60	
34127	$1,586.75	$2,252.50	
34130	$496.30	$652.10	
34133	$556.60	$731.40	
34136	$894.75	$1,175.60	
34139	$894.75	$1,175.60	
34142	$1,105.35	$1,452.40	
34145	$804.65	$1,057.30	
34148	$1,436.30	$1,886.80	
34151	$1,962.65	$2,578.60	
34154	$2,338.75	$3,073.30	
34157	$1,188.20	$1,561.40	
34160	$2,225.90	$2,924.90	
34163	$2,857.55	$3,754.70	
34166	$2,857.55	$3,754.70	
34169	$1,586.75	$2,084.70	
34172	$1,293.40	$1,699.70	
34175	$1,188.20	$1,561.40	
34500	$308.40	$405.20	
34503	$413.55	$543.40	
34506	$210.45	$276.60	
34509	$977.55	$1,284.40	
34512	$1,075.40	$1,413.50	
34515	$767.00	$1,008.00	
34518	$1,285.75	$1,689.40	
34521	$789.95	$1,038.00	
34524	$413.55	$543.40	
34527	$551.60	$724.80	
34528	$272.40	$357.70	
34530	$204.25	$268.40	
34533	$1,240.65	$1,630.10	
34538	$272.40	$381.40	
34539	$204.25	$286.10	
34800	$812.15	$1,067.10	
34803	$1,789.85	$2,351.60	
34806	$970.05	$1,274.50	
34809	$970.05	$1,454.00	
34812	$1,173.05	$1,758.10	
34815	$970.05	$1,453.90	
34818	$1,067.80	$1,600.50	
34821	$1,451.45	$2,175.20	
34824	$496.30	$743.80	
34827	$601.65	$901.60	
34830	$707.00	$1,059.80	
34833	$917.40	$1,375.00	
35000	$707.00	$1,059.80	
35003	$917.40	$1,375.00	
35006	$1,150.55	$1,724.30	
35009	$894.75	$1,341.20	
35012	$707.00	$1,059.80	
35100	$368.55	$523.20	
35103	$234.55	$333.10	
35200	$171.50	$225.40	
35202	$817.10	$1,073.60	
35300	$515.35	$677.20	
35303	$660.80	$868.10	
35306	$609.90	$801.50	
35307	$1,121.15	$1,489.80	
35309	$762.35	$1,001.50	
35312	$864.05	$1,226.80	
35315	$864.05	$1,226.80	
35317	$355.80	$467.20	
35319	$637.80	$837.50	
35320	$856.70	$1,125.70	
35321	$813.30	$1,068.40	
35324	$304.95	$400.60	
35327	$408.70	$537.00	
35330	$515.35	$677.20	
35331	$592.45	$785.80	
35360	$828.20	$1,098.30	
35361	$710.30	$942.00	
35362	$592.45	$785.80	
35363	$474.65	$629.50	
35404	$346.60	$474.40	
35406	$813.30	$1,112.70	
35408	$610.10	$834.80	
35410	$813.30	$1,112.70	
35412	$2,857.55	$3,910.00	
35500	$81.30	$119.90	
35502	$80.15	$118.90	
35503	$53.55	$79.10	
35506	$53.70	$79.30	
35507	$174.45	$261.80	
35508	$256.95	$385.40	
35509	$89.45	$131.90	
35512	$179.40	$264.00	
35513	$221.70	$326.30	
35516	$116.35	$171.50	
35517	$146.00	$215.00	
35518	$207.85	$306.00	
35520	$58.30	$85.80	
35523	$58.30	$85.80	
35526	$116.35	$171.50	
35527	$146.00	$215.00	
35530	$269.85	$397.30	
35533	$349.85	$515.40	
35534	$349.85	$518.80	
35536	$348.45	$513.10	
35539	$272.95	$409.30	
35542	$319.60	$470.30	
35545	$183.60	$270.50	
35548	$834.05	$1,228.00	
35551	$683.90	$1,007.20	
35554	$43.50	$63.90	
35557	$214.50	$315.70	
35560	$683.90	$1,007.20	
35561	$1,379.50	$2,031.20	
35562	$1,132.60	$1,667.40	
35564	$522.85	$770.00	
35565	$683.90	$1,007.20	
35566	$397.25	$595.30	
35568	$624.60	$926.40	
35569	$160.85	$240.60	
35570	$553.85	$821.30	
35571	$553.85	$821.30	
35572	$123.80	$185.40	
35573	$830.90	$1,232.00	
35577	$674.50	$1,000.10	
35578	$674.50	$1,000.10	
35595	$1,155.00	$1,712.80	
35596	$683.90	$1,007.20	
35597	$1,473.20	$2,184.50	
35599	$674.50	$993.10	
