DESCRIPTION: LINE 2 IS THE HEADER; LINE 3 IS START_DATE; THE FOLLOWING LINES: FEES LIST; THE COLUMNS ARE SEPARATED BY TAB
MBS	MBS Fee (Jan 2015)	AHSA $ Benefit	AHSA % Benefit
11715	$120.75	$153.00	
11718	$34.75	$43.80	
11721	$69.75	$71.00	
11722	$34.75	$41.40	
11724	$168.90	$171.70	
11727	$94.75	$112.80	
11800	$174.45	$192.30	
11810	$174.45	$192.30	
11820	$2,039.20	$2,246.40	
11823	$2,039.20	$2,246.90	
11830	$186.80	$205.70	
11833	$249.75	$275.00	
11900	$27.55	$32.60	
11903	$111.10	$131.60	
11906	$111.10	$131.60	
11909	$165.15	$195.80	
11912	$165.15	$195.80	
11915	$165.15	$195.80	
11917	$428.35	$520.30	
11919	$428.35	$507.80	
11921	$75.05	$88.80	
12000	$38.95	$42.30	
12003	$58.85	$63.80	
12012	$20.80	$22.60	
12015	$62.45	$67.80	
12018	$80.35	$87.40	
12021	$117.85	$127.90	
12200	$37.20	$40.50	
12201	$2,392.90	$2,480.00	
12203	$588.00	$597.60	
12207	$588.00	$597.60	
12210	$701.85	$745.30	
12213	$632.30	$671.30	
12215	$701.85	$745.30	
12217	$632.30	$671.30	
12250	$335.30	$347.30	
12306	$102.40	$104.20	
12309	$102.40	$104.20	
12312	$102.40	$104.20	
12315	$102.40	$104.20	
12318	$102.40	$104.20	
12321	$102.40	$104.20	
12323	$102.40	$106.20	
12500	$216.65	$220.50	
12503	$424.75	$431.90	
12506	$303.30	$308.30	
12509	$216.65	$220.50	
12512	$105.05	$106.90	
12515	$229.85	$233.80	
12518	$105.05	$106.90	
12521	$126.65	$128.90	
12524	$158.35	$161.20	
12527	$84.95	$86.50	
12530	$126.65	$128.90	
12533	$84.65	$86.20	
13015	$254.75	$263.90	
13020	$258.85	$263.20	
13025	$115.70	$117.90	
13030	$163.45	$166.20	
13100	$136.65	$139.20	
13103	$71.20	$72.50	
13104	$147.95	$150.60	
13106	$121.35	$123.60	
13109	$227.75	$231.60	
13110	$228.50	$232.40	
13112	$136.65	$139.20	
13200	$3,110.75	$3,111.10	
13201	$2,909.75	$2,910.10	
13202	$465.55	$656.70	
13203	$486.75	$686.80	
13206	$465.55	$1,221.00	
13209	$84.70	$117.40	
13212	$354.45	$497.70	
13215	$111.10	$156.40	
13218	$793.55	$1,175.40	
13221	$50.80	$71.50	
13251	$417.95	$590.70	
13290	$204.25	$279.90	
13292	$408.70	$560.20	
13300	$56.95	$64.10	
13303	$84.40	$95.10	
13306	$334.10	$376.10	
13309	$284.85	$320.50	
13312	$28.45	$32.40	
13318	$227.45	$255.90	
13319	$227.45	$255.90	
13400	$96.80	$125.10	
13500	$180.30	$265.00	
13503	$360.70	$529.30	
13506	$184.50	$270.60	
13700	$333.25	$431.10	
13703	$119.50	$154.80	
13706	$83.35	$108.00	
13709	$48.45	$62.50	
13750	$136.65	$176.60	
13755	$136.65	$176.60	
13757	$72.95	$94.50	
13760	$762.60	$986.40	
13815	$85.25	$106.90	
13818	$113.70	$142.60	
13830	$75.35	$94.80	
13839	$23.05	$28.70	
13842	$69.30	$86.70	
13847	$156.10	$180.90	
13848	$131.05	$164.30	
13851	$493.65	$619.60	
13854	$114.85	$144.00	
13857	$146.40	$183.80	
13870	$362.10	$367.10	
13873	$268.60	$272.30	
13876	$76.90	$78.10	
13881	$146.40	$169.40	
13882	$115.25	$116.60	
13885	$153.65	$156.20	
13888	$76.90	$78.30	
13915	$65.05	$83.00	
13918	$97.95	$125.40	
13921	$110.80	$128.80	
13924	$65.25	$76.10	
13927	$84.40	$98.10	
13930	$117.80	$137.50	
13933	$130.70	$152.10	
13936	$85.15	$98.90	
13939	$97.95	$114.20	
13942	$65.25	$80.50	
13945	$52.50	$57.00	
13948	$65.25	$76.10	
14050	$52.75	$62.70	
14053	$52.75	$62.70	
14100	$152.50	$181.40	
14106	$152.50	$181.40	
14109	$187.35	$223.00	
14112	$221.75	$263.90	
14115	$256.50	$305.40	
14118	$325.75	$387.50	
14124	$152.50	$181.40	
14200	$59.80	$71.20	
14201	$236.85	$282.00	
14202	$119.90	$142.70	
14203	$51.15	$60.90	
14206	$35.60	$42.40	
14209	$88.70	$105.40	
14212	$185.30	$220.70	
14218	$97.95	$116.60	
14221	$52.50	$62.40	
14224	$70.35	$83.70	
14227	$97.95	$116.60	
14230	$298.05	$354.70	
14233	$361.90	$430.90	
14236	$659.95	$785.80	
14239	$159.40	$189.70	
14242	$473.65	$563.90	
14245	$97.95	$116.70	
15000	$42.55	$51.80	
15003			121.70 
15006	$94.35	$115.90	
15009			121.70 
15012	$53.45	$65.40	
15100	$47.70	$57.80	
15103			121.70 
15106	$56.30	$68.50	
15109			121.70 
15112	$120.25	$146.10	
15115			121.70 
15211	$54.70	$66.30	
15214			121.70 
15215	$59.65	$72.70	
15218	$59.65	$72.70	
15221	$59.65	$72.70	
15224	$59.65	$72.70	
15227	$59.65	$72.70	
15230			121.70 
15233			121.70 
15236			121.70 
15239			121.70 
15242			121.70 
15245	$59.65	$72.70	
15248	$59.65	$72.70	
15251	$59.65	$72.70	
15254	$59.65	$72.70	
15257	$59.65	$72.70	
15260			121.70 
15263			121.70 
15266			121.70 
15269			121.70 
15272			121.70 
15303	$357.00	$434.10	
15304	$357.00	$434.10	
15307	$676.80	$823.10	
15308	$676.80	$823.10	
